Date,Open,High,Low,Close,Volume
2019-08-15 01:00:00,105.962,105.977,105.814,105.941,7288
2019-08-15 02:00:00,105.942,105.977,105.889,105.92,4218
2019-08-15 03:00:00,105.9215,105.958,105.883,105.8935,2978
2019-08-15 04:00:00,105.8955,105.914,105.83,105.9025,3151
2019-08-15 05:00:00,105.9035,105.946,105.868,105.9105,2861
2019-08-15 06:00:00,105.9115,106.782,105.894,106.326,9960
2019-08-15 07:00:00,106.327,106.361,106.138,106.251,9375
2019-08-15 08:00:00,106.25,106.254,106.066,106.072,5107
2019-08-15 09:00:00,106.0705,106.094,105.806,105.923,8834
2019-08-15 10:00:00,105.922,105.932,105.702,105.7615,7248
2019-08-15 11:00:00,105.7625,106.346,105.749,106.1115,12413
2019-08-15 12:00:00,106.11,106.352,106.097,106.2015,15664
2019-08-15 13:00:00,106.1995,106.294,106.008,106.2705,18965
2019-08-15 14:00:00,106.269,106.29,106.128,106.155,13590
2019-08-15 15:00:00,106.154,106.194,106.094,106.124,7843
2019-08-15 16:00:00,106.122,106.124,106.056,106.1125,5235
2019-08-15 17:00:00,106.111,106.164,105.802,105.9055,7251
2019-08-15 18:00:00,105.9045,106.176,105.861,106.1085,11432
2019-08-15 19:00:00,106.1095,106.174,106.0,106.0405,7318
2019-08-15 20:00:00,106.0425,106.134,105.984,106.106,1368
2019-08-15 21:00:00,106.083,106.176,106.083,106.114,433
2019-08-15 22:00:00,106.112,106.162,106.103,106.134,855
2019-08-15 23:00:00,106.1325,106.152,106.084,106.0945,1746
2019-08-16 00:00:00,106.0955,106.12,106.026,106.107,5012
2019-08-16 01:00:00,106.108,106.181,106.092,106.144,4238
2019-08-16 02:00:00,106.1455,106.274,106.137,106.188,3531
2019-08-16 03:00:00,106.186,106.2405,106.16,106.213,2978
2019-08-16 04:00:00,106.2115,106.2325,106.108,106.1215,2693
2019-08-16 05:00:00,106.123,106.17,106.093,106.105,2526
2019-08-16 06:00:00,106.106,106.166,106.075,106.14,3524
2019-08-16 07:00:00,106.1385,106.216,106.122,106.161,5290
2019-08-16 08:00:00,106.16,106.366,106.142,106.311,4928
2019-08-16 09:00:00,106.31,106.494,106.288,106.4335,6594
2019-08-16 10:00:00,106.4325,106.458,106.332,106.368,3700
2019-08-16 11:00:00,106.369,106.408,106.28,106.283,4023
2019-08-16 12:00:00,106.2815,106.432,106.268,106.3965,5429
2019-08-16 13:00:00,106.3975,106.398,106.25,106.264,6181
2019-08-16 14:00:00,106.2615,106.43,106.208,106.3885,12200
2019-08-16 15:00:00,106.387,106.399,106.292,106.344,5352
2019-08-16 16:00:00,106.345,106.348,106.25,106.283,3219
2019-08-16 17:00:00,106.2815,106.306,106.252,106.288,2727
2019-08-16 18:00:00,106.2865,106.298,106.192,106.286,2345
2019-08-16 19:00:00,106.287,106.349,106.261,106.31,3152
2019-08-16 20:00:00,106.309,106.387,106.306,106.37,930
2019-08-16 21:00:00,106.3645,106.3645,106.3645,106.3645,1
2019-08-18 21:00:00,106.285,106.354,106.265,106.3295,190
2019-08-18 22:00:00,106.3335,106.475,106.327,106.4695,1345
2019-08-18 23:00:00,106.468,106.471,106.421,106.433,1599
2019-08-19 00:00:00,106.4315,106.434,106.334,106.3595,4844
2019-08-19 01:00:00,106.3585,106.432,106.252,106.2725,3905
2019-08-19 02:00:00,106.274,106.362,106.247,106.32,2459
2019-08-19 03:00:00,106.3215,106.393,106.305,106.3615,1699
2019-08-19 04:00:00,106.3605,106.382,106.338,106.349,897
2019-08-19 05:00:00,106.348,106.418,106.32,106.3905,2091
2019-08-19 06:00:00,106.3895,106.416,106.362,106.3805,3067
2019-08-19 07:00:00,106.3785,106.433,106.345,106.4015,4899
2019-08-19 08:00:00,106.4025,106.664,106.396,106.584,5646
2019-08-19 09:00:00,106.583,106.615,106.534,106.544,3095
2019-08-19 10:00:00,106.5455,106.62,106.532,106.5845,3937
2019-08-19 11:00:00,106.5825,106.698,106.562,106.6115,5050
2019-08-19 12:00:00,106.613,106.64,106.538,106.628,3530
2019-08-19 13:00:00,106.6295,106.66,106.548,106.5615,4558
2019-08-19 14:00:00,106.56,106.563,106.457,106.483,5177
2019-08-19 15:00:00,106.482,106.559,106.48,106.503,3684
2019-08-19 16:00:00,106.504,106.547,106.48,106.5405,1877
2019-08-19 17:00:00,106.539,106.564,106.52,106.5475,1675
2019-08-19 18:00:00,106.5455,106.6425,106.546,106.6255,2545
2019-08-19 19:00:00,106.627,106.668,106.615,106.6445,2467
2019-08-19 20:00:00,106.646,106.672,106.601,106.634,1279
2019-08-19 21:00:00,106.631,106.634,106.59,106.6015,209
2019-08-19 22:00:00,106.6035,106.648,106.563,106.6145,675
2019-08-19 23:00:00,106.6155,106.633,106.562,106.5665,1404
2019-08-20 00:00:00,106.568,106.692,106.514,106.621,4782
2019-08-20 01:00:00,106.622,106.628,106.559,106.5955,3408
2019-08-20 02:00:00,106.594,106.632,106.556,106.572,2561
2019-08-20 03:00:00,106.571,106.594,106.523,106.591,2084
2019-08-20 04:00:00,106.5925,106.592,106.5495,106.562,1288
2019-08-20 05:00:00,106.563,106.584,106.5295,106.5465,1701
